Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
447647,"Robots et extra-terrestres d'Isaac Asimov. [5-6]","Bruce Bethke","Bethke, Bruce","Jerry Oltion",="",="9782277232902",0,"4.25","J'ai lu","Mass Market Paperback","431",1992,1992,,2010/10/10,"to-check, science-fiction, maison","to-check (#249), science-fiction (#424), maison (#204)","to-check",,"",,,,,0,,,,,
4626609,"Le Voile De L'espace","Robert Reed","Reed, Robert","",="2253072176",="9782253072171",0,"3.51","Librairie générale française","Mass Market Paperback","377",2000,1994,,2010/10/09,"to-check, science-fiction, maison","to-check (#149), science-fiction (#188), maison (#319)","to-check",,"",,,,,0,,,,,
1289627,"Par-delà le mur du sommeil","H.P. Lovecraft","Lovecraft, H.P.","",="2070424596",="9782070424597",0,"3.65","Folio SF","Mass Market Paperback","333",2002,1919,,2010/10/09,"to-check, science-fiction, maison","to-check (#115), science-fiction (#151), maison (#288)","to-check",,"",,,,,0,,,,,
13551253,"Destination vide (Le programme conscience, #1)","Frank Herbert","Herbert, Frank","",="2266028561",="978226028561",3,"3.57","Robert Laffont","Paperback","321",1981,1966,2012/03/26,2010/10/10,"science-fiction, maison","science-fiction (#413), maison (#194)","read",,"",,,,,0,,,,,
866136,"The Dreaming Void (Void, #1)","Peter F. Hamilton","Hamilton, Peter F.","",="0345496531",="9780345496539",4,"4.12","Del Rey","Hardcover","608",2008,2007,2012/01/30,2012/01/13,"maison, science-fiction","maison (#507), science-fiction (#499)","read",,"",,,,,0,,,,,
2527372,"Les Vertes Collines de la Terre (Histoire du futur 2)","Robert A. Heinlein","Heinlein, Robert A.","",="2070317536",="9782070317530",4,"3.75","Gallimard","Mass Market Paperback","347",2005,1951,2012/02/29,2012/02/16,"maison, science-fiction","maison (#506), science-fiction (#498)","read",,"",,,,,0,,,,,
2527374,"De Mathusalem suivi de Les orphelins du ciel (Histoire du futur 4)","Robert A. Heinlein","Heinlein, Robert A.","",="2070317552",="9782070317554",5,"3.87","Gallimard","Paperback","457",2005,1941,2012/03/17,2012/03/17,"maison, science-fiction","maison (#510), science-fiction (#500)","read",,"",,,,,0,,,,,
2527373,"Révolte en 2100 (Histoire du futur 3)","Robert A. Heinlein","Heinlein, Robert A.","",="2070317544",="9782070317547",4,"3.75","Gallimard","Paperback","372",2005,1953,2012/03/11,2012/03/10,"maison, science-fiction","maison (#511), science-fiction (#501)","read",,"",,,,,0,,,,,
9482151,"La Fille sans ombre","Karen Haber","Haber, Karen","",="229004377X",="9782290043776",0,"3.50","Éd. J'ai lu",,"317",1996,1995,,2010/10/09,"to-check, science-fiction, maison","to-check (#84), science-fiction (#110), maison (#259)","to-check",,"",,,,,0,,,,,
2555232,"Le dit d'Aka/Le nom du monde est forêt","Ursula K. Le Guin","Guin, Ursula K. Le","Gérard Klein",="2253110922",="9782253110927",4,"3.76","Le Livre de Poche",,"539",2005,2000,,2010/10/09,"science-fiction, maison","science-fiction (#366), maison (#119)","read","","",,,,,0,,,,,
333314,"Murphy","Samuel Beckett","Beckett, Samuel","",="0802150373",="9780802150370",4,"3.96","Grove Press","Paperback","288",1994,1938,,2012/02/29,"pasmaison, other","pasmaison (#45), other (#18)","read",,"",,,,,0,,,,,
9482519,"Les Maisons D'iszm","Jack Vance","Vance, Jack","",="2266016156",="9782266016155",0,"3.51","Presses Pocket",,"156",1973,1964,,2010/10/09,"to-check, science-fiction, maison","to-check (#190), science-fiction (#245), maison (#361)","to-check",,"",,,,,0,,,,,
17716,"Waiting for Godot","Samuel Beckett","Beckett, Samuel","",="",="",3,"3.76","",,"109",,1953,,2010/10/09,"pasmaison, other","pasmaison (#2), other (#2)","read",,"",,,,,0,,,,,
2527371,"L'homme qui vendit la Lune (histoire du futur 1)","Robert A. Heinlein","Heinlein, Robert A.","",="2070317528",="9782070317523",4,"3.79","",,"",,1950,2012/02/16,2012/02/10,"maison, science-fiction","maison (#512), science-fiction (#502)","read",,"",,,,,0,,,,,
6878505,"Le Grand Vaisseau","Robert Reed","Reed, Robert","Michel Demuth",="2915549680",="9782915549683",4,"3.71","Bragelone","Paperback","412",2006,2000,2011/03/13,2011/03/20,"science-fiction, maison","science-fiction (#475), maison (#474)","read",,"",,,,,0,,,,,
7756265,"La Patrouille Du Temps","Poul Anderson","Anderson, Poul","",="2277214094",="9782277214090",0,"3.56",,,"",,1978,,2010/10/09,"to-check, science-fiction, maison","to-check (#5), science-fiction (#9), maison (#429)","to-check","","","","","","",0,,,,,
1559508,"La citadelle Hyponéros (Les guerriers du silence, #3)","Pierre Bordage","Bordage, Pierre","",="2290331376",="9782290331378",0,"4.07","J'ai lu","Paperback","667",2002,,,2010/10/09,"to-check, science-fiction, maison","to-check (#22), science-fiction (#39), maison (#443)","to-check",,"",,,,,0,,,,,
6845918,"Judas déchaîné  (L'Étoile de Pandore, #3)","Peter F. Hamilton","Hamilton, Peter F.","Nenad Savic",="2811201114",="9782811201111",4,"4.18","Milady","Mass Market Paperback","704",2009,2006,,2010/10/09,"science-fiction, maison","science-fiction (#437), maison (#161)","read","","",,,,,0,,,,,
3220966,"Master of Paxwax (Story the Gardener 1)","Phillip Mann","Mann, Phillip","",="0575038071",="9780575038073",0,"4.00","Victor Gollancz",,"",1986,1986,,2010/10/09,"to-check, science-fiction, maison","to-check (#117), science-fiction (#153), maison (#290)","to-check",,"",,,,,0,,,,,
382161,"Chindi","Jack McDevitt","McDevitt, Jack","",="0441011020",="9780441011025",0,"3.73","Ace","Paperback","528",2003,2002,,2010/10/09,"to-check, science-fiction, maison","to-check (#125), science-fiction (#161), maison (#421)","to-check","","",,,,,0,,,,,
1835695,"Dix petits nègres","Agatha Christie","Christie, Agatha","",="2253003964",="9782253003960",4,"4.15","Le Livre de Poche","Mass Market Paperback","222",2010,1939,,2010/10/09,"policier, maison","policier (#2), maison (#453)","read",,"",,,,,0,,,,,
149082,"Against Infinity","Gregory Benford","Benford, Gregory","Arthur C. Clarke",="0553290053",="9780553290059",4,"3.29","Bantam Spectra","Mass Market Paperback","246",1991,1983,,2010/10/09,"science-fiction, maison","science-fiction (#343), maison (#107)","read","","",,,,,0,,,,,
89185,"Chasm City (Revelation Space, Standalone)","Alastair Reynolds","Reynolds, Alastair","",="0441010644",="9780441010646",5,"4.04","Ace Books","Mass Market Paperback","694",2003,2001,,2010/10/09,"","","read",,"",,,,,0,,,,,
31354,"Earthfall (Homecoming Saga - Book #4)","Orson Scott Card","Card, Orson Scott","",="0812532961",="9780812532968",4,"3.39","Tor Books","Paperback","370",1996,1995,,2010/10/09,"science-fiction, maison","science-fiction (#435), maison (#151)","read","","",,,,,0,,,,,
210482,"Earthborn (Homecoming Saga - Book #5)","Orson Scott Card","Card, Orson Scott","",="0812532988",="9780812532982",4,"3.32","Tor Books","Paperback","448",1996,1995,,2010/10/10,"science-fiction, maison","science-fiction (#441), maison (#207)","read",,"",,,,,0,,,,,
274620,"Killdozer! (Complete Stories of Theodore Sturgeon 3)","Theodore Sturgeon","Sturgeon, Theodore","Paul Williams, Robert Silverberg",="1556433271",="9781556433276",0,"4.06","North Atlantic Books","Paperback","375",1999,1982,,2010/10/09,"to-check, science-fiction, maison","to-check (#188), science-fiction (#241), maison (#358)","to-check",,"",,,,,0,,,,,
2305722,"The Universe Maker","A.E. van Vogt","Vogt, A.E. van","",="0881848417",="9780881848410",4,"3.25","Carroll & Graf Publishers","Mass Market Paperback","192",1992,1953,,2010/10/09,"science-fiction, maison","science-fiction (#351), maison (#187)","read",,"",,,,,0,,,,,
854754,"The Extremes","Christopher Priest","Priest, Christopher","",="0684816326",="9780684816326",5,"3.38",,,"",,1998,,2010/10/09,"science-fiction, maison","science-fiction (#184), maison (#97)","read","","",,,,,0,,,,,
2555279,"Demain les chiens","Clifford D. Simak","Simak, Clifford D.","",="2290308595",="9782290308592",4,"4.08","J'ai lu","Mass Market Paperback","310",2002,1952,,2010/10/09,"science-fiction, maison","science-fiction (#220), maison (#174)","read",,"",,,,,0,,,,,
2735096,"La peur geante","Stefan Wul","Wul, Stefan","",="220724735X",="9782207247358",0,"4.00","Denoël","Mass Market Paperback","169",1998,,,2010/10/09,"to-check, science-fiction, maison","to-check (#210), science-fiction (#471), maison (#470)","to-check",,"",,,,,0,,,,,
2672743,"Involution Ocean","Bruce Sterling","Sterling, Bruce","",="051504301X",="9780515043013",0,"3.66","Jove Books","Paperback","0",1977,1977,,2010/10/09,"to-check, science-fiction, maison","to-check (#187), science-fiction (#237), maison (#356)","to-check",,"",,,,,0,,,,,
1415743,"Take Back Plenty (Tabitha Jute, #1)","Colin Greenland","Greenland, Colin","",="0380763958",="9780380763955",0,"3.25","Avon Books","Mass Market Paperback","",,1990,,2010/10/09,"to-check, science-fiction, maison","to-check (#82), science-fiction (#108), maison (#257)","to-check",,"",,,,,0,,,,,
2534299,"A Hunger in the Soul","Michael D. Resnick","Resnick, Michael D.","",="0312854382",="9780312854386",0,"3.62","Tor Books","Hardcover","224",1998,1998,,2010/10/09,"to-check, science-fiction, maison","to-check (#150), science-fiction (#189), maison (#320)","to-check",,"",,,,,0,,,,,
203288,"The Ship Who Sang (Brainship, #1)","Anne McCaffrey","McCaffrey, Anne","",="0345334310",="9780345334312",5,"3.91","Del Rey","Paperback","256",1985,1969,,2010/10/09,"science-fiction, maison, favorites","science-fiction (#302), maison (#60), favorites (#6)","read",,"",,,,,0,,,,,
390359,"The Alien Years","Robert Silverberg","Silverberg, Robert","",="006105111X",="9780061051111",0,"3.37","EOS","Paperback","496",1999,1995,,2010/10/09,"to-check, science-fiction, maison","to-check (#166), science-fiction (#211), maison (#336)","to-check",,"",,,,,0,,,,,
219231,"Probability Space (Probability, Book 3)","Nancy Kress","Kress, Nancy","",="0765345145",="9780765345141",4,"3.47","Tor Science Fiction","Paperback","368",2004,2002,,2010/10/09,"science-fiction, maison","science-fiction (#326), maison (#141)","read","","",,,,,0,,,,,
2353311,"Recalled to Life","Robert Silverberg","Silverberg, Robert","",="0441710859",="9780441710850",0,"3.39","Ace Books","Paperback","238",1977,1962,,2010/10/09,"to-check, science-fiction, maison","to-check (#169), science-fiction (#214), maison (#339)","to-check",,"",,,,,0,,,,,
85874,"The Fall of the Towers","Samuel R. Delany","Delany, Samuel R.","",="140003132X",="9781400031320",0,"3.60","Vintage","Paperback","448",2004,1970,,2010/10/09,"to-check, science-fiction, maison","to-check (#58), science-fiction (#76), maison (#232)","to-check",,"",,,,,0,,,,,
2272376,"Mission To The Stars","A.E. van Vogt","Vogt, A.E. van","",="042501973X",="9780425019733",0,"3.43","Berkley","Paperback","0",1971,1952,,2010/10/09,"to-check, science-fiction, maison","to-check (#193), science-fiction (#250), maison (#364)","to-check",,"",,,,,0,,,,,
1103561,"Vitals","Greg Bear","Bear, Greg","",="0345423348",="9780345423344",5,"3.15","Random House Publishing Group","Paperback","416",2003,2002,,2010/10/09,"science-fiction, maison","science-fiction (#336), maison (#33)","read","","",,,,,0,,,,,
41069,"Stand on Zanzibar","John Brunner","Brunner, John","",="1857988361",="9781857988369",4,"3.96","",,"672",,1968,,2010/10/09,"","","read",,"",,,,,0,,,,,
57127,"Rimrunners (Company Wars, #3)","C.J. Cherryh","Cherryh, C.J.","",="0445209798",="9780445209794",0,"3.79","Warner Books","Mass Market Paperback","280",1990,1989,,2010/10/09,"to-check, science-fiction, maison","to-check (#46), science-fiction (#65), maison (#223)","to-check",,"",,,,,0,,,,,
2147488,"Equator: A Human Time Bomb from the Moon","Brian W. Aldiss","Aldiss, Brian W.","",="0755100573",="9780755100576",0,"3.20","House of Stratus","Paperback","149",2001,1958,,2010/10/09,"science-fiction, to-check, maison","science-fiction (#7), to-check (#3), maison (#425)","to-check","","","","","","",0,,,,,
9911032,"La citadelle Hyponéros (Les guerriers du silence, #3)","Pierre Bordage","Bordage, Pierre","",="2841720888",="9782841720880",0,"4.07","",,"",,,,2010/10/09,"to-check, science-fiction, maison","to-check (#23), science-fiction (#40), maison (#444)","to-check",,"",,,,,0,,,,,
753753,"The Hollow","Agatha Christie","Christie, Agatha","",="1579127363",="9781579127367",0,"3.68","Black Dog & Leventhal Publishers","Hardcover","288",2007,1946,,2010/10/09,"to-check, policier, maison","to-check (#48), policier (#4), maison (#455)","to-check",,"",,,,,0,,,,,
1181944,"Isaac Asimov's Robot City 2","William F. Wu","Wu, William F.","Arthur Byron Cover",="1588243591",="9781588243591",0,"3.33","ibooks",,"",,,,2010/10/10,"to-check, science-fiction, maison","to-check (#228), science-fiction (#389), maison (#393)","to-check",,"",,,,,0,,,,,
7971,"The Call of Earth","Orson Scott Card","Card, Orson Scott","",="0812532619",="9780812532616",4,"3.48","Tor Science Fiction","Paperback","352",1994,1993,,2010/10/09,"science-fiction, maison","science-fiction (#432), maison (#152)","read","","",,,,,0,,,,,
7898786,"Le Livre Des Crânes","Robert Silverberg","Silverberg, Robert","Guy Abadia",="2720100153",="9782720100154",4,"3.67","Éditions Opta","Paperback","251",1975,1971,,2010/10/09,"","","read",,"",,,,,0,,,,,
6363721,"Harm's Way","Colin Greenland","Greenland, Colin","",="0380768836",="9780380768837",0,"3.42","Avon Books","Mass Market Paperback","310",1993,1993,,2010/10/09,"to-check, science-fiction, maison","to-check (#83), science-fiction (#109), maison (#258)","to-check",,"",,,,,0,,,,,
1657011,"Le jour des fourmis (La Saga des Fourmis, #2)","Bernard Werber","Werber, Bernard","",="2226061185",="9782226061188",0,"3.80","","","",,1992,,2010/10/10,"to-check, science-fiction, maison","to-check (#242), science-fiction (#416), maison (#197)","to-check",,"",,,,,0,,,,,
10244363,"The Man with a Thousand Names","A.E. van Vogt","Vogt, A.E. van","",="0879972025",="9780879972028",4,"3.56","DAW Books","Paperback","159",1980,1974,,2010/10/09,"science-fiction, maison","science-fiction (#334), maison (#147)","read","","",,,,,0,,,,,
2092820,"Les Prêtres Du Psi:  Science Fiction","Frank Herbert","Herbert, Frank","",="2266015109",="9782266015103",0,"3.56",,,"",,,,2010/10/09,"to-check, science-fiction, maison","to-check (#98), science-fiction (#127), maison (#273)","to-check",,"",,,,,0,,,,,
1455438,"Oracle","Kevin O'Donnell Jr.","Jr., Kevin O'Donnell","Kevin O'Donnell",="0425072606",="9780425072608",4,"3.85","Berkley","Paperback","336",1984,1983,,2010/10/09,"science-fiction, maison","science-fiction (#170), maison (#173)","read",,"",,,,,0,,,,,
883631,"The Three Stigmata of Palmer Eldritch","Philip K. Dick","Dick, Philip K.","",="0879978104",="9780879978105",0,"3.97","DAW","Mass Market Paperback","192",1983,1965,,2010/10/09,"to-check, science-fiction, maison","to-check (#61), science-fiction (#81), maison (#236)","to-check",,"",,,,,0,,,,,
1094862,"To Open The Sky","Robert Silverberg","Silverberg, Robert","",="0345020251",="9780345020253",0,"3.48",,,"",,1967,,2010/10/09,"to-check, science-fiction, maison","to-check (#165), science-fiction (#210), maison (#335)","to-check",,"",,,,,0,,,,,
1400574,"The Mc Andrew Chronicles","Charles Sheffield","Sheffield, Charles","M. Sheffield",="0523485662",="9780523485669",0,"3.76","Tor Books","Paperback","",,1983,,2010/10/09,"to-check, science-fiction, maison","to-check (#162), science-fiction (#204), maison (#410)","to-check","","",,,,,0,,,,,
352781,"Omega","Jack McDevitt","McDevitt, Jack","",="0441012108",="9780441012107",4,"3.72","Ace","Paperback","512",2004,2003,2012/01/06,2011/12/17,"maison, science-fiction","maison (#504), science-fiction (#496)","read",,"",,,,,0,,,,,
535315,"Ancient Shores","Jack McDevitt","McDevitt, Jack","",="0061054267",="9780061054266",0,"3.49","EOS (an imprint of HarperCollinsPublishers)","Mass Market Paperback","384",1996,1996,,2010/10/09,"to-check, science-fiction, maison","to-check (#124), science-fiction (#160), maison (#297)","to-check",,"",,,,,0,,,,,
70257,"The Drought (Paladin Books)","J.G. Ballard","Ballard, J.G.","",="0586089969",="9780586089965",3,"3.63","Flamingo","Paperback","240",2002,1964,,2010/10/09,"science-fiction, maison","science-fiction (#26), maison (#164)","read",,"",,,,,0,,,,,
96471,"Earth","David Brin","Brin, David","",="055329024X",="9780553290240",3,"3.84","Spectra","Mass Market Paperback","704",2009,1990,2011/04/16,2010/10/10,"science-fiction, maison","science-fiction (#433), maison (#205)","read","","","Terre #1","","","",0,,,,,
1142873,"Null A-3","A.E. van Vogt","Vogt, A.E. van","",="0886770564",="9780886770563",5,"3.79","DAW","Paperback","256",1985,1973,,2010/10/10,"science-fiction, maison","science-fiction (#404), maison (#28)","read",,"",,,,,0,,,,,
1130358,"Miracle of Rare Design","Mike Resnick","Resnick, Mike","",="0812524241",="9780812524246",0,"3.81","Tor Books","Mass Market Paperback","247",1996,1994,,2010/10/09,"to-check, science-fiction, maison","to-check (#151), science-fiction (#190), maison (#321)","to-check",,"",,,,,0,,,,,
91056,"Up the Walls of the World","James Tiptree","Tiptree, James","",="0441854710",="9780441854714",4,"3.95","Ace","Paperback","320",1984,1978,,2010/10/09,"science-fiction, maison","science-fiction (#349), maison (#185)","read",,"",,,,,0,,,,,
611403,"The Voices of Heaven","Frederik Pohl","Pohl, Frederik","",="0812535189",="9780812535181",0,"3.24","Tor Science Fiction","Paperback","352",1995,1995,,2010/10/09,"to-check, science-fiction, maison","to-check (#137), science-fiction (#176), maison (#309)","to-check",,"",,,,,0,,,,,
2634893,"The Murder of Roger Ackroyd","Agatha Christie","Christie, Agatha","Robin Bailey",="0007155204",="9780007155200",4,"4.04","HarperCollins Audio","Audio Cassette","0",2003,1926,,2010/10/09,"policier, maison","policier (#3), maison (#454)","read",,"",,,,,0,,,,,
16690,"The Moon is a Harsh Mistress","Robert A. Heinlein","Heinlein, Robert A.","",="0340837942",="9780340837948",0,"4.14","Hodder & Stoughton","Paperback","288",2005,1966,,2010/10/09,"to-check, science-fiction, maison","to-check (#95), science-fiction (#123), maison (#270)","to-check",,"",,,,,0,,,,,
1058659,"Isaac Asimovs Robot City Volume 3","Isaac Asimov","Asimov, Isaac","William F. Wu",="0743400070",="9780743400077",0,"4.29","ibooks","Paperback","416",2000,2000,,2010/10/10,"to-check, science-fiction, maison","to-check (#229), science-fiction (#390), maison (#394)","to-check",,"",,,,,0,,,,,
388949,"Infinite Dreams","Joe Haldeman","Haldeman, Joe","",="0380476053",="9780380476053",0,"3.54","Avon Books (Dresden, TN)","Paperback","224",1979,1978,,2010/10/09,"to-check, science-fiction, maison","to-check (#88), science-fiction (#115), maison (#263)","to-check",,"",,,,,0,,,,,
410927,"PartnerShip (Brainship, #2)","Anne McCaffrey","McCaffrey, Anne","Margaret Ball",="0671721097",="9780671721091",5,"3.86","Baen Books","Mass Market Paperback","336",1992,1992,,2010/10/09,"science-fiction, maison","science-fiction (#303), maison (#130)","read","","",,,,,0,,,,,
394027,"Permanence","Karl Schroeder","Schroeder, Karl","",="0765342855",="9780765342850",5,"3.76","Tor Science Fiction","Mass Market Paperback","480",2003,2002,2011/12/16,2010/10/09,"science-fiction, maison","science-fiction (#345), maison (#32)","read","","",,,,,0,,,,,
987341,"Kingdoms of the Wall","Robert Silverberg","Silverberg, Robert","",="0553093096",="9780553093094",0,"3.59","Spectra","Hardcover","307",1993,1992,,2010/10/09,"to-check, science-fiction, maison","to-check (#168), science-fiction (#213), maison (#338)","to-check",,"",,,,,0,,,,,
3275,"Time and Chance","Alan Brennert","Brennert, Alan","",="0812531884",="9780812531886",4,"3.58","Tor Books","Mass Market Paperback","0",1990,,,2010/10/09,"science-fiction, maison","science-fiction (#46), maison (#104)","read","","",,,,,0,,,,,
196023,"Shakespeare's Planet","Clifford D. Simak","Simak, Clifford D.","",="034500762X",="9780345007629",0,"3.52","Ballantine Books ","Paperback","202",1988,1976,,2010/10/09,"to-check, science-fiction, maison","to-check (#176), science-fiction (#222), maison (#346)","to-check",,"",,,,,0,,,,,
